Left	Grapheme	Right	Class	Replacement	Frequency	Codepoint	UnicodeName
	p			p	3278	U+0070	LATIN SMALL LETTER P
	ɸ			ɸ	456	U+0278	LATIN SMALL LETTER PHI
	q			q	21	U+0071	LATIN SMALL LETTER Q
	r			r	289	U+0072	LATIN SMALL LETTER R
	ʀ			ʀ	293	U+0280	LATIN LETTER SMALL CAPITAL R
	ɹ			ɹ	372	U+0279	LATIN SMALL LETTER TURNED R
	ɻ			ɻ	151	U+027B	LATIN SMALL LETTER TURNED R WITH HOOK
	ɽ			ɾ	14	U+027D	LATIN SMALL LETTER R WITH TAIL
	ɾ			ɾ	2013	U+027E	LATIN SMALL LETTER R WITH FISHHOOK
	ʁ			ʁ	1514	U+0281	LATIN LETTER SMALL CAPITAL INVERTED R
	s			s	6170	U+0073	LATIN SMALL LETTER S
	ʂ			ʃ	1	U+0282	LATIN SMALL LETTER S WITH HOOK
	ʃ			ʃ	2734	U+0283	LATIN SMALL LETTER ESH
	t			t	10614	U+0074	LATIN SMALL LETTER T
	ʈ			ʈ	52	U+0288	LATIN SMALL LETTER T WITH RETROFLEX HOOK
	u			u	806	U+0075	LATIN SMALL LETTER U
	ʉ			ʉ	20	U+0289	LATIN SMALL LETTER U BAR
	ɯ			ɯ	376	U+026F	LATIN SMALL LETTER TURNED M
	ɰ			j	1	U+0270	LATIN SMALL LETTER TURNED M WITH LONG LEG
	ʊ			ʊ	3717	U+028A	LATIN SMALL LETTER UPSILON
	v			v	2205	U+0076	LATIN SMALL LETTER V
	ʋ			ʋ	79	U+028B	LATIN SMALL LETTER V WITH HOOK
	ʌ			ʌ	484	U+028C	LATIN SMALL LETTER TURNED V
	w			w	141	U+0077	LATIN SMALL LETTER W
	ʍ			w	1	U+028D	LATIN SMALL LETTER TURNED W
	x			x	1427	U+0078	LATIN SMALL LETTER X
	y			y	312	U+0079	LATIN SMALL LETTER Y
	ʏ			ʏ	696	U+028F	LATIN LETTER SMALL CAPITAL Y
	z			z	1300	U+007A	LATIN SMALL LETTER Z
	ʑ			ʒ	12	U+0291	LATIN SMALL LETTER Z WITH CURL
	ʒ			ʒ	157	U+0292	LATIN SMALL LETTER EZH
	ʔ			ʔ	273	U+0294	LATIN LETTER GLOTTAL STOP
	ʼ				247	U+02BC	MODIFIER LETTER APOSTROPHE
	ʾ				1955	U+02BE	MODIFIER LETTER RIGHT HALF RING
	ʿ				1950	U+02BF	MODIFIER LETTER LEFT HALF RING
	β			β	2606	U+03B2	GREEK SMALL LETTER BETA
	θ			θ	519	U+03B8	GREEK SMALL LETTER THETA
	χ			χ	1007	U+03C7	GREEK SMALL LETTER CHI
